q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-08,1e-05,0.0001,0.0011454766921166935,0.0015758736248494944,-0.0007231951608481707,0.01848207107251055,0.00634671766386978,0.0,0.0,93426,1.1391052914124389
1e-06,1e-05,3e-05,0.00038640301785128144,0.0015578987739073155,-0.00013342084767833817,0.01805652518887516,0.0010202453294718952,0.0017339926786975788,0.0009740329244535783,93426,1.1395743814656587
5e-07,1e-05,0.0001,0.0005343845894527718,0.0015558555949581575,-0.00019345127438763843,0.012686394864406097,0.0010563883008834441,0.0011666987776421981,4.281463404191553e-05,93426,1.1435253286542726
1e-06,3e-05,0.0003,0.0005801057643258409,0.001488687906334811,-0.00021660835788037485,0.00427500377318065,0.00045275709835870684,0.0,0.0,93426,1.1445937868603004
5e-07,3e-06,3e-05,0.0004691537145895889,0.0018438251240884664,-0.00013271809253124274,0.04149767827405488,0.0018821343054459074,0.0028792841393188193,0.0018624365808233255,93426,1.1461869127852744
1e-06,1e-05,0.0001,0.0004765616281395252,0.0016816773157610717,-0.00016924370983329064,0.01187158835681543,0.000716015893104218,0.0011452914606212403,7.492560957335217e-05,93426,1.1569437145591757
1e-07,3e-06,0.0001,0.000867019642954074,0.0018449274589988237,-0.0003061649130854723,0.025666094381697226,0.0038813347258022835,0.0018196219467814098,0.0011345878021107615,93426,1.1608710502936865
1e-06,1e-06,3e-05,0.0005715550176160304,0.0028461123166537627,-2.221491646722728e-05,0.12982497835217305,0.0018267171201873011,0.005801382912679554,0.004763128037163103,93426,1.1624500728067062
1e-06,3e-06,3e-05,0.00044134806817434447,0.001930001812324296,-0.0001210746100821997,0.03268841713756704,0.001434559806555052,0.0024190268233682272,0.0015092158499775223,93426,1.1630304933565243
5e-07,1e-05,0.0003,0.0007446473601492968,0.0018034126031124267,-0.00027388467334299747,0.0075717028355013595,0.0008896222565307221,1.0703658510478882e-05,0.0,93426,1.1727749093049966
5e-07,3e-06,0.0001,0.0005891634214778007,0.0019183465084344907,-0.0001943319560248914,0.020471614699030416,0.001310378482577317,0.0017553999957185366,0.0011024768265793248,93426,1.1733432129688572
1e-08,3e-06,0.0001,0.0014955640935427196,0.0021289029186874952,-0.0007187103889081623,0.038634863935077646,0.012800528928119902,0.0012416243872155502,0.0002461841457410143,93426,1.1751224242730207
1e-07,1e-05,0.0003,0.001136575245304063,0.0018474726940852038,-0.0004629856232042966,0.009304136943487933,0.00252135173912231,0.0,0.0,93426,1.1754431324650323
1e-06,1e-05,0.0003,0.0006288093673474032,0.0018457553196107803,-0.0002264800090387253,0.006926213604712378,0.0005534479959592389,2.1407317020957764e-05,0.0,93426,1.1776600220148763
1e-06,3e-06,0.0001,0.0005249814691738011,0.0019618103018438095,-0.0001661605509175639,0.017125337646924903,0.0009016616622520479,0.001541326825508959,0.0008348853638173528,93426,1.1806612413140278
1e-06,3e-05,0.001,0.0008659379852524017,0.0018333901538859331,-0.00032666199115977227,0.002537786837101646,0.0003906896296789116,0.0,0.0,93426,1.1808012285514917
5e-07,3e-05,0.001,0.001049216688833903,0.0018640303260309026,-0.00041243302959756466,0.0027985142758271096,0.0006268698441451392,0.0,0.0,93426,1.1836045183272632
1e-09,3e-05,0.0001,0.0014640082264667678,0.002120379083088017,-0.0012745589770829797,0.026823055234203037,0.006550329003589048,0.0,0.0,93426,1.1852148530745987
1e-08,3e-05,0.0003,0.0014733824912873388,0.0019554796516119185,-0.001131472347157171,0.009549883289100409,0.003893957241344337,0.0,0.0,93426,1.1859980818720914
1e-07,1e-06,0.0001,0.0009601267952490793,0.002240474871724089,-0.00029492081805291713,0.039682035544165946,0.004548850313981471,0.002365508530815833,0.001541326825508959,93426,1.18708953271916
5e-07,1e-06,0.0001,0.0006437769322148614,0.002156990953769549,-0.00017555164615057546,0.027589543259429614,0.001491103984826202,0.0018517329223128466,0.001284439021257466,93426,1.1903198575999392
1e-06,1e-06,0.0001,0.0005716061472799984,0.002135068638094756,-0.00014845675997119328,0.021862388572540005,0.0010439617579923012,0.0016376597521032688,0.0010168475584954938,93426,1.1934801526714827
